label,age,tenure_months,monthly_bill,support_tickets,late_payments,data_usage_gb
0,58,35,90.30,1,0,49.1
0,25,44,65.40,5,9,32.5
0,19,47,88.75,4,9,47.9
1,65,48,112.40,4,8,25.2
0,35,48,98.80,1,6,34.7
0,33,43,82.50,1,1,16.1
1,32,13,86.10,2,6,5.8
0,26,24,113.35,1,2,17.6
0,65,28,62.50,1,2,24.0
1,24,5,74.45,3,9,28.5
0,61,43,84.75,2,9,33.4
1,65,59,110.85,1,9,20.9
0,52,22,102.65,3,1,37.4
0,23,40,27.15,2,1,42.1
0,55,21,36.60,1,9,14.3
0,45,43,50.75,2,1,42.4
0,20,55,94.90,2,4,40.4
1,19,8,76.90,4,8,26.1
0,23,47,48.85,1,5,1.3
0,31,58,32.45,4,6,7.3
0,32,20,88.85,1,4,33.5
0,50,33,89.95,3,6,10.0
1,56,20,114.25,4,7,37.5
0,19,43,70.05,1,9,8.0
0,53,27,69.40,2,9,14.3
0,30,21,28.05,2,7,12.5
0,63,26,24.00,0,0,42.0
0,59,45,63.20,1,2,34.5
0,62,19,52.25,2,4,14.8
0,52,36,45.05,4,6,37.7
0,44,9,29.15,3,2,1.6
1,32,13,116.20,2,9,40.7
0,46,27,103.60,0,9,5.1
0,55,43,77.50,2,6,43.4
0,35,25,115.10,2,0,37.0
1,69,44,119.95,1,6,43.2
0,18,48,87.25,0,5,37.1
0,66,58,46.95,3,3,28.1
0,69,12,24.00,2,0,11.9
0,28,40,95.65,1,7,39.2
0,62,37,67.05,1,4,39.9
0,45,20,85.15,2,5,14.4
0,39,26,111.60,1,0,33.2
0,35,36,38.15,1,5,46.3
0,27,54,78.55,4,4,19.4
1,31,1,83.50,3,4,47.8
0,66,20,69.15,0,4,48.8
0,39,19,29.10,3,7,15.6
0,24,14,54.80,3,1,27.6
0,23,28,53.35,2,3,0.6
0,42,51,87.00,4,2,12.6
0,24,38,105.75,0,4,31.0
0,40,39,53.00,2,7,39.0
0,40,42,89.35,0,5,43.5
0,56,21,48.80,1,4,41.5
1,34,30,114.50,4,6,45.6
1,69,29,101.35,2,9,35.2
0,20,29,75.00,3,1,32.4
0,64,44,65.50,4,3,37.8
1,47,14,51.45,4,7,27.3
0,52,33,52.35,2,3,30.2
0,25,31,117.00,3,6,38.8
0,42,51,60.40,0,7,48.2
1,23,58,71.45,2,8,14.7
1,53,51,118.80,2,5,8.9
0,36,48,85.75,0,0,34.1
1,58,11,74.25,3,8,9.3
0,57,43,61.30,2,2,8.7
1,41,6,38.75,3,1,25.7
0,54,19,56.20,2,4,18.9
0,30,33,95.65,1,8,21.4
0,63,43,82.55,0,6,27.8
0,22,41,96.00,2,2,6.5
0,20,40,40.35,4,8,29.2
1,60,22,74.90,3,9,12.8
1,32,6,112.75,2,0,16.5
0,67,53,63.80,3,2,35.5
0,36,49,89.85,1,3,7.7
0,23,16,32.15,2,3,7.7
0,32,44,117.30,2,0,16.1
0,24,20,80.90,4,3,2.5
0,42,15,43.95,3,0,46.6
0,35,52,35.85,0,7,30.8
1,47,13,75.10,7,0,33.1
1,58,10,75.25,0,5,24.5
1,41,2,29.30,1,3,28.6
1,28,3,119.25,1,4,17.9
1,41,16,111.30,3,5,39.2
0,40,31,66.15,1,7,15.9
0,31,40,31.75,3,8,11.0
1,60,55,103.20,2,6,9.2
0,35,50,69.85,4,1,3.4
1,62,5,91.65,3,0,25.3
0,61,30,70.90,3,3,20.8
0,59,27,47.35,0,5,26.9
1,22,57,103.45,1,7,4.6
1,56,41,118.00,2,9,11.1
0,58,37,44.35,4,7,10.7
0,28,13,75.15,1,2,16.6
0,52,46,58.35,2,7,18.0
1,64,45,112.20,2,9,10.9
0,33,25,70.80,5,8,37.6
0,28,32,107.95,0,5,26.5
0,47,26,106.40,0,5,49.8
0,42,16,47.60,4,2,41.2
1,35,10,99.00,3,4,49.1
0,58,42,61.50,4,1,0.4
0,62,45,113.40,0,4,33.4
1,53,1,70.75,0,0,22.3
1,32,58,102.05,2,6,45.2
0,61,49,48.30,3,0,30.7
0,38,56,49.85,2,2,31.1
0,67,50,78.70,2,9,47.9
1,67,57,119.90,1,3,34.1
1,21,7,68.95,1,3,16.0
0,32,50,34.85,1,3,45.8
0,70,28,73.85,2,3,47.2
0,20,15,54.50,1,4,19.3
1,69,12,75.20,3,6,27.0
0,38,52,74.35,2,8,14.1
0,43,45,65.55,0,0,45.6
0,35,34,52.20,3,0,41.1
0,22,30,38.85,1,7,18.7
1,31,4,89.75,3,2,40.1
0,54,36,77.20,4,2,22.3
0,63,16,43.35,2,9,2.2
0,38,59,97.55,1,0,44.9
0,31,55,24.35,1,3,9.6
1,59,8,94.45,2,4,25.7
0,49,30,90.50,2,9,47.4
1,43,9,101.15,3,4,8.4
0,59,52,58.60,3,4,47.8
0,47,30,86.35,1,6,26.9
0,27,43,102.05,1,6,0.4
0,34,34,118.10,2,5,3.3
0,26,36,69.55,2,7,33.5
0,33,39,23.70,2,4,38.7
0,65,21,70.25,1,3,43.2
0,53,49,79.00,3,7,21.2
1,52,58,106.95,4,4,5.2
1,34,29,107.40,3,8,26.9
0,65,40,64.05,5,9,35.1
0,55,53,72.60,1,6,48.8
0,45,47,65.70,3,9,38.8
1,55,58,92.25,1,1,32.3
0,43,33,61.00,1,0,47.0
0,41,28,85.50,0,8,37.3
0,32,54,35.45,1,5,7.7
1,26,59,66.95,5,8,23.0
0,50,36,116.90,0,9,16.6
0,49,29,53.85,1,9,4.4
1,23,58,89.25,2,4,2.7
1,66,11,85.00,1,4,39.7
0,21,48,105.20,2,1,27.9
1,25,56,105.25,5,7,28.7
0,27,31,105.95,2,1,11.4
0,58,29,58.00,2,5,12.9
0,28,17,51.65,2,4,19.4
1,68,49,91.85,3,5,31.5
1,61,16,95.95,0,4,21.7
1,45,54,107.25,6,4,0.8
0,56,41,23.60,2,4,33.7
0,22,18,26.85,1,3,26.7
0,42,50,83.10,1,2,32.1
1,42,50,112.10,3,8,30.9
0,56,34,119.75,2,3,37.8
0,47,32,94.70,3,0,29.3
0,51,41,63.40,2,9,35.0
0,34,16,29.85,1,6,3.6
1,53,18,83.35,5,5,46.4
0,18,29,107.25,2,2,5.3
1,61,5,64.35,2,0,39.3
1,64,46,89.40,5,7,15.1
1,25,19,110.35,4,4,4.3
0,61,16,24.60,5,4,38.3
1,52,18,99.60,1,6,21.9
0,66,22,49.35,4,6,19.8
0,35,21,57.50,3,6,33.0
0,67,58,34.55,0,0,23.7
0,59,35,73.10,1,9,26.7
1,39,6,76.60,1,9,6.8
1,25,9,99.25,4,3,19.5
0,36,10,37.00,4,5,39.9
0,45,15,27.90,1,3,27.3
0,28,25,107.10,1,8,48.0
0,47,45,81.95,1,7,7.2
0,18,10,44.10,3,5,33.9
1,64,46,111.30,1,8,45.7
0,64,14,34.30,2,4,39.8
1,34,5,66.10,0,2,36.5
0,50,27,45.40,1,8,18.7
0,66,27,45.55,3,2,47.5
0,29,22,20.95,0,4,27.7
0,50,35,100.45,3,1,27.8
